球员,球队,位置,场次,先发,出场时间,三分命中率,罚球命中率,进攻效率,防守效率,篮板,助攻,抢断,盖帽,失误,犯规,得分
giannis_antetokounmpo,雄鹿,前锋,12,12,37.3,22.0,67.9,2.2,12.0,14.2,6.8,0.7,1.3,4.5,3.6,31.7
luka_don,独行侠,前锋-后卫,15,15,36.8,34.5,77.0,0.7,9.1,9.8,6.4,1.8,0.6,3.9,2.9,31.7
nikola_jokic,掘金,中锋,5,5,34.2,27.8,84.8,3.4,9.8,13.2,5.8,1.6,1.0,4.8,4.0,31.0
ja_morant,灰熊,后卫,9,9,37.6,34.0,74.7,1.4,6.6,8.0,9.8,2.0,0.4,3.6,2.4,27.1
jayson_tatum,凯尔特人,前锋-后卫,17,17,40.8,36.6,83.5,1.0,5.5,6.5,5.9,1.2,0.9,4.4,3.1,27.1
brandon_ingram,鹈鹕,前锋,6,6,39.3,40.7,83.0,0.7,5.5,6.2,6.2,0.7,0.3,3.8,1.8,27.0
jimmy_butler,热火,前锋,16,16,36.3,34.4,85.1,2.5,4.8,7.3,4.8,2.1,0.7,1.5,1.4,26.9
kevin_durant,篮网,前锋,4,4,44.0,33.3,89.5,0.5,5.3,5.8,6.3,1.0,0.3,5.3,3.8,26.3
stephen_curry,勇士,后卫,16,12,33.6,38.0,82.2,0.6,4.4,4.9,6.2,1.1,0.4,2.6,2.6,25.9
donovan_mitchell,爵士,后卫,6,6,38.3,20.8,88.1,1.0,3.3,4.3,5.7,0.7,0.5,2.7,2.3,25.5
anthony_edwards,森林狼,后卫,6,6,37.8,40.4,82.4,0.7,3.5,4.2,3.0,1.2,1.2,2.5,3.7,25.2
joel_embiid,76人,中锋-前锋,10,10,38.5,21.2,82.0,2.1,8.6,10.7,2.1,0.4,0.8,3.2,3.4,23.6
devin_booker,太阳,后卫,10,10,36.6,43.1,88.7,1.0,3.8,4.8,4.4,0.5,0.4,3.2,2.5,23.3
jaylen_brown,凯尔特人,后卫-前锋,17,17,37.8,39.4,73.9,1.2,5.6,6.8,3.4,1.3,0.5,2.9,3.0,22.9
pascal_siakam,猛龙,前锋,6,6,43.3,23.5,86.1,1.3,5.8,7.2,5.8,1.2,1.0,2.2,4.0,22.8
cj_mccollum,鹈鹕,后卫,6,6,39.0,33.3,69.2,1.8,4.8,6.7,4.8,0.7,0.8,2.5,2.5,22.2
karl-anthony_towns,森林狼,中锋-前锋,6,6,37.0,45.5,86.0,1.8,9.0,10.8,2.2,0.7,2.0,4.5,4.2,21.8
jalen_brunson,独行侠,后卫,18,18,34.9,34.7,80.0,0.8,3.8,4.6,3.7,0.8,0.1,1.1,2.1,21.6
kyrie_irving,篮网,后卫,4,4,42.5,38.1,100.0,1.5,3.8,5.3,5.3,1.8,1.3,2.3,3.3,21.3
deandre_hunter,老鹰,前锋-后卫,5,5,35.0,46.2,80.0,0.4,3.4,3.8,0.6,0.8,0.2,2.2,4.0,21.2
demar_derozan,公牛,后卫-前锋,5,5,40.6,0.0,86.7,0.2,5.2,5.4,4.8,1.8,0.4,2.2,2.4,20.8
tyrese_maxey,76人,后卫,12,12,40.4,37.7,94.0,0.5,3.0,3.5,3.9,0.8,0.2,1.8,2.0,20.8
klay_thompson,勇士,后卫,16,16,35.1,39.9,80.0,0.3,3.9,4.3,2.4,1.0,0.8,1.3,2.1,19.8
nikola_vucevic,公牛,中锋,5,5,36.2,31.0,80.0,2.8,9.6,12.4,3.2,0.4,1.2,1.6,2.8,19.4
zach_lavine,公牛,后卫-前锋,4,4,38.3,37.5,93.3,0.0,5.3,5.3,6.0,0.8,0.3,3.0,2.3,19.3
jrue_holiday,雄鹿,后卫,12,12,38.6,31.6,83.9,1.0,4.6,5.6,6.5,1.8,0.6,2.8,2.3,19.1
desmond_bane,灰熊,后卫,12,12,35.7,48.9,85.7,0.4,3.3,3.8,2.2,0.9,0.8,1.3,1.9,18.8
james_harden,76人,后卫,12,12,39.9,36.8,89.3,0.9,4.8,5.7,8.6,0.8,0.7,4.2,2.4,18.6
jordan_poole,勇士,后卫,16,5,30.1,39.3,91.7,0.6,2.6,3.2,4.5,0.9,0.4,2.6,3.1,18.4
bojan_bogdanovic,爵士,前锋,6,6,35.7,33.3,79.2,0.5,3.7,4.2,1.7,0.3,0.0,2.0,4.0,18.0
deandre_ayton,太阳,中锋,13,13,30.5,50.0,63.6,2.5,6.4,8.9,1.7,0.4,0.8,1.5,2.6,17.9
jordan_clarkson,爵士,后卫,6,0,28.3,37.5,88.9,0.8,2.3,3.2,1.3,0.5,0.2,1.7,2.8,17.5
chris_paul,太阳,后卫,13,13,34.5,38.8,94.6,0.5,3.6,4.2,8.3,1.5,0.2,2.4,3.1,17.5
og_anunoby,猛龙,前锋,6,6,36.2,34.1,75.0,1.2,2.8,4.0,2.5,1.0,0.2,1.7,3.0,17.3
tobias_harris,76人,前锋,12,12,38.8,38.6,86.4,0.8,6.8,7.6,2.9,1.1,0.8,1.5,2.9,16.9
andrew_wiggins,勇士,前锋,16,16,33.2,35.3,63.5,2.6,4.4,7.0,1.7,0.8,0.9,1.2,2.6,15.8
jaren_jackson_jr,灰熊,前锋-中锋,12,12,27.7,37.5,75.5,2.2,4.6,6.8,0.9,0.8,2.5,1.4,4.4,15.4
trae_young,老鹰,后卫,5,5,37.4,18.4,78.8,1.0,4.0,5.0,6.0,0.6,0.0,6.2,2.6,15.4
gary_trent_jr,猛龙,后卫-前锋,6,6,33.2,33.3,89.5,0.2,1.5,1.7,1.3,1.0,0.5,0.5,1.8,15.3
marcus_smart,凯尔特人,后卫,14,14,36.2,33.3,81.8,1.0,3.2,4.2,6.3,1.1,0.4,2.3,3.4,14.9
dillon_brooks,灰熊,后卫-前锋,11,11,30.5,34.7,64.0,0.7,2.0,2.7,2.7,1.0,0.3,2.0,3.3,14.6
seth_curry,篮网,后卫,4,4,33.0,52.2,66.7,0.5,2.0,2.5,3.0,0.3,0.8,0.8,3.8,14.5
khris_middleton,雄鹿,前锋,2,2,35.5,42.9,100.0,0.5,4.5,5.0,7.0,1.5,0.0,5.5,3.0,14.5
jonas_valanciunas,鹈鹕,中锋,6,6,29.2,16.7,76.9,5.5,8.8,14.3,3.0,0.7,0.2,2.0,2.8,14.5
bogdan_bogdanovic,老鹰,后卫,4,0,26.8,34.6,80.0,1.0,3.8,4.8,3.0,0.3,0.3,1.0,3.0,14.3
bam_adebayo,热火,中锋-前锋,17,17,33.4,0.0,78.1,1.9,5.9,7.8,2.6,1.1,0.8,2.2,3.0,14.2
spencer_dinwiddie,独行侠,后卫,18,3,27.8,41.7,82.1,0.4,2.0,2.4,3.6,0.8,0.3,1.6,2.3,14.2
bruce_brown,篮网,后卫-前锋,4,4,34.8,42.9,80.0,1.5,3.3,4.8,2.8,1.3,0.8,2.3,4.0,14.0
monte_morris,掘金,后卫,5,5,31.2,42.3,75.0,0.2,2.0,2.2,5.4,1.2,0.0,1.6,2.8,14.0
will_barton,掘金,后卫,5,5,34.4,39.3,66.7,1.0,4.6,5.6,2.8,0.8,0.2,2.0,2.2,13.8
